RutClienteRecibe,NombreClienteRecibe,NombreBancoReceptor,MontoTotalTransferencias,MonedaTransferencia
21239871-6,Ascensión Castañeda Escrivá,Banco Itaú,90962.00,USD
21284986-4,José María Cuenca Belda,Banco Internacional,314971.00,USD
21292817-0,Trinidad Grande Cardona,Banco Security,8870033.00,EUR
21386227-1,Sebastián Galiano Egea,Banco Internacional,4112399.00,EUR
21404984-6,Anastasia Gisbert Huertas,Banco de Chile,6501693.00,USD
21436747-0,Nélida Quevedo Baró,Banco Estado,4304351.00,CLP
21468519-4,Blanca Noelia Osuna Domingo,Banco Internacional,9822139.00,USD
21478032-6,Anna Villalobos Viñas,Banco Santander,6203198.00,CLP
21506360-7,Leandra Anaya Muro,Banco Itaú,8151716.00,CLP
21524054-6,Gabriela Villanueva Larrea,Banco de Chile,2188227.00,EUR
21564203-3,Apolinar Naranjo Montserrat,Banco Itaú,5430528.00,USD
21578297-0,Leocadio Lago Pina,Banco Santander,4228512.00,CLP
21587087-0,Malena Ponce Sans,Banco Estado,572848.00,EUR
21663092-0,Nerea Toledo Sancho,Banco Itaú,6421946.00,USD
21709038-2,Paco Zaragoza-Aguado,Scotiabank,508775.00,USD
21739804-7,Ángela de Lopez,Banco Itaú,7955220.00,EUR
21824269-4,Pedro del Carreras,Banco Internacional,8004908.00,CLP
21828379-9,Manola Echeverría Menendez,Banco Itaú,2709260.00,EUR
21876257-8,Aitor Gibert Avilés,Banco Itaú,2221460.00,CLP
21880489-3,Eufemia Morales Tejera,Scotiabank,8647836.00,EUR
21902732-5,Luisina Carbó,Banco Consorcio,1306306.00,CLP
21960922-7,Basilio Esteban Benet,Banco Security,8790028.00,USD
21972226-1,Leandro Vallejo Sanmartín,Banco Estado,7538395.00,EUR
22091104-1,Rosalía Caro,Banco Itaú,5590188.00,USD
22191854-8,Fausto Galiano,Banco Santander,6516290.00,USD
22222280-7,Fabián Hernán Sabater Segarra,Scotiabank,5277427.00,CLP
22264015-9,Macaria Hidalgo Padilla,Banco Falabella,6095717.00,EUR
22312385-1,Fernando Solsona Garay,Banco Internacional,1121685.00,USD
22396913-7,Isaura Ojeda Mínguez,Scotiabank,5019180.00,CLP
22451209-7,Mercedes Miró Pizarro,Banco Santander,1063672.00,CLP
22452206-7,Ale Giner Márquez,Banco Consorcio,2990495.00,CLP
22486097-0,Jaime de Rivera,Banco Internacional,5165005.00,EUR
22676775-7,Serafina Domínguez Alberto,Banco Consorcio,470772.00,USD
22679706-2,Berto Múgica Boix,Banco de Chile,8024085.00,EUR
22702490-2,Modesta Mirta Español Mateo,Banco Falabella,485090.00,EUR
22704210-7,Yéssica Carranza Querol,Scotiabank,1324092.00,USD
22709128-2,Miguela Villalobos Roselló,Banco BICE,8377328.00,USD
22733471-7,Anselma Guerrero Ballester,Banco Santander,360687.00,USD
22734888-1,Victor Manuel Castillo Gutiérrez,Banco BICE,3261471.00,CLP
22762868-7,Eli Llorente,Banco Security,5839357.00,EUR
22803586-2,Crescencia Ropero Villalba,Banco BICE,8937338.00,USD
22837305-4,Leonel Machado Ferreras,Scotiabank,7639797.00,EUR
22851431-7,Paloma de Caro,Banco de Chile,1410871.00,EUR
22875063-5,Anabel Asenjo Muñoz,Banco Falabella,6309230.00,USD
22883851-3,Aureliano Valdés Perera,Banco Estado,6133317.00,EUR
22908491-8,Ricarda Yésica Muro Álvaro,Banco BICE,2722812.00,EUR
22921570-8,Cleto Moya,Banco Santander,2490374.00,EUR
22942041-9,Eliseo López Valenzuela,Scotiabank,2163110.00,CLP
22948217-0,Arsenio Fajardo Tenorio,Banco BICE,6963098.00,USD
22949221-8,Álvaro Jaén Salcedo,Banco Falabella,2533098.00,EUR
22979194-1,Macarena Torrents Medina,Banco Falabella,948041.00,EUR
22993948-7,Ceferino Guardiola Solana,Scotiabank,7677643.00,USD
23002539-8,Anastasia Marisol Meléndez Juárez,Banco Santander,6033071.00,USD
23003417-3,Carla Arana-Campos,Banco Santander,4172463.00,EUR
23061935-4,Laura Carreras Fabra,Banco Falabella,9256074.00,CLP
23091801-0,Casandra del Ros,Banco Falabella,2128899.00,EUR
23153600-7,Arturo Cañete Garriga,Banco Itaú,9323077.00,CLP
23202771-6,Nayara Bilbao Larrea,Banco Falabella,6662383.00,EUR
23243169-2,Rubén de Benito,Banco Consorcio,2068225.00,CLP
23270923-9,Dionisio Tiburcio Alonso Lladó,Banco Security,9995046.00,USD
23318680-9,María Fernanda Castro Alvarez,Banco de Chile,520253.00,USD
23369680-4,Rosenda Gallo-Castellanos,Banco Santander,6024211.00,CLP
23446246-2,Maura Verdejo,Banco Internacional,2451451.00,USD
23548032-8,Zoraida Lloret Gibert,Banco Consorcio,9615945.00,USD
23573758-9,Gabriela Morillo Abad,Banco de Chile,7607867.00,CLP
23593632-2,Bautista Borrás Ballesteros,Scotiabank,9360737.00,CLP
23606148-0,Nieves Lago-Giménez,Banco de Chile,4031075.00,CLP
23610263-1,Melchor Sandoval-Conde,Banco Itaú,5303166.00,EUR
23613546-3,Leandra Romero Escrivá,Banco Security,6275192.00,EUR
23634415-0,Yéssica Ferrera Tomé,Banco Consorcio,2521296.00,EUR
23641031-8,Berto Rocha Pintor,Banco Itaú,7259245.00,CLP
23780852-6,Eusebia Guillén Flor,Banco Estado,8852548.00,CLP
23790633-8,Leire del Núñez,Banco Internacional,7585657.00,EUR
23860302-9,Pascuala Eli Mayoral Aller,Banco de Chile,3132659.00,EUR
23860441-3,Odalis Salinas Lopez,Scotiabank,5080909.00,USD
23862626-9,Borja Jose Francisco Barranco Antúnez,Banco BICE,9067011.00,USD
23877721-5,Cipriano Soto,Banco Falabella,5165939.00,CLP
23940819-0,Mamen del Nuñez,Banco Internacional,956555.00,CLP
23946672-6,Fabricio Arteaga Serra,Banco Santander,9355938.00,USD
24011451-5,Tamara Talavera-Montoya,Banco Estado,7560617.00,USD
24019840-7,Apolonia del Valencia,Scotiabank,392043.00,CLP
24029379-3,Yéssica Palomo Pizarro,Banco BICE,3949742.00,USD
24039359-4,Jacinto de Alberto,Banco Falabella,5501855.00,EUR
24041962-7,Bienvenida Yuste Guijarro,Banco BICE,2665535.00,EUR
24064159-1,Olegario Giralt Jove,Banco Security,7949745.00,USD
24068177-6,René Martin,Banco Falabella,647357.00,CLP
24094984-8,Itziar Hurtado-Camps,Banco Santander,4941209.00,CLP
24108376-6,Damián Guillen Arévalo,Banco Itaú,3569111.00,EUR
24121433-9,Macarena Posada Morata,Banco Estado,9481787.00,EUR
24174399-5,Federico Patiño-Chacón,Banco Estado,4332171.00,USD
24197458-6,Ana Sofía Haydée Alvarez Calvo,Banco Falabella,1057277.00,CLP
24226032-0,Jeremías Hernando Zorrilla,Banco Security,522746.00,USD
24233001-6,Bruno del Ferrándiz,Banco Internacional,5651493.00,CLP
24293020-7,Angelita del Salazar,Banco Estado,333532.00,CLP
24326184-0,Miguel de Perez,Banco Security,5443857.00,EUR
24367413-8,Casemiro Hernando Coloma Pinto,Banco Estado,1264682.00,USD
24386473-7,Mauricio Cervera Vilalta,Banco Security,6136804.00,USD
24401623-3,Esteban Blanca Royo,Banco Internacional,617534.00,CLP
24401800-3,Nando Torrent Castilla,Scotiabank,3220939.00,CLP
24410816-6,Alma Piquer Gelabert,Banco de Chile,644177.00,USD
24417252-8,Francisca Pol-Ripoll,Banco Consorcio,2229621.00,USD
24431418-4,Flavia Marti Prado,Banco Itaú,7993731.00,CLP
24439469-5,Ascensión Aragón Planas,Banco Consorcio,1485215.00,EUR
24467470-6,Baldomero Llorens Ávila,Banco Security,6863903.00,CLP
24511500-2,Silvio Badía Tur,Banco Security,884250.00,EUR
24574161-7,Patricia Perez Maestre,Banco Estado,812835.00,USD
24596014-6,Angelino Sabater Iglesia,Scotiabank,6743770.00,USD
24647142-7,Juan Francisco Planas-Pardo,Banco Internacional,5464386.00,USD
24688201-0,Begoña Roldan Molins,Banco Itaú,5477882.00,USD
24761775-0,María Ochoa Juárez,Banco Estado,411385.00,CLP
24813668-9,Felipa Aliaga Suarez,Banco Internacional,1575867.00,CLP
24834769-7,Modesto González Bernal,Banco Internacional,7868141.00,USD
24893506-0,María Luisa Río Nadal,Banco Santander,9011063.00,CLP
24899403-6,Reinaldo Mármol,Banco Falabella,4698711.00,EUR
24942463-0,Eustaquio Noguera-Riera,Banco Internacional,1434534.00,CLP
24946394-7,Serafina Figuerola Tur,Banco Internacional,3618446.00,EUR
24965971-7,Remedios García Miralles,Banco Security,5676945.00,CLP
